t,v
0.0053,0.335331
0.00531,0.340239
0.00532,0.345064
0.00533,0.349807
0.00534,0.354468
0.00535,0.359047
0.00536,0.363545
0.00537,0.367962
0.00538,0.372299
0.00539,0.376555
0.0054,0.380732
0.00541,0.384829
0.00542,0.388848
0.00543,0.392787
0.00544,0.396648
0.00545,0.400432
0.00546,0.404138
0.00547,0.407766
0.00548,0.411319
0.00549,0.414794
0.0055,0.418194
0.00551,0.421519
0.00552,0.424768
0.00553,0.427943
0.00554,0.431043
0.00555,0.43407
0.00556,0.437023
0.00557,0.439903
0.00558,0.442711
0.00559,0.445447
0.0056,0.448111
0.00561,0.450704
0.00562,0.453227
0.00563,0.455678
0.00564,0.458061
0.00565,0.460373
0.00566,0.462617
0.00567,0.464792
0.00568,0.4669
0.00569,0.468939
0.0057,0.470912
0.00571,0.472818
0.00572,0.474658
0.00573,0.476432
0.00574,0.478141
0.00575,0.479785
0.00576,0.481365
0.00577,0.482882
0.00578,0.484335
0.00579,0.485725
0.0058,0.487052
0.00581,0.488318
0.00582,0.489523
0.00583,0.490667
0.00584,0.49175
0.00585,0.492773
0.00586,0.493737
0.00587,0.494642
0.00588,0.495489
0.00589,0.496278
0.0059,0.497009
0.00591,0.497683
0.00592,0.498301
0.00593,0.498863
0.00594,0.49937
0.00595,0.499821
0.00596,0.500218
0.00597,0.500561
0.00598,0.500851
0.00599,0.501088
0.006,0.501272
0.00601,0.501404
0.00602,0.501485
0.00603,0.501515
0.00604,0.501495
0.00605,0.501424
0.00606,0.501304
0.00607,0.501135
0.00608,0.500918
0.00609,0.500653
0.0061,0.50034
0.00611,0.49998
0.00612,0.499574
0.00613,0.499122
0.00614,0.498625
0.00615,0.498083
0.00616,0.497496
0.00617,0.496865
0.00618,0.496191
0.00619,0.495474
0.0062,0.494714
0.00621,0.493913
0.00622,0.49307
0.00623,0.492186
0.00624,0.491261
0.00625,0.490297
0.00626,0.489293
0.00627,0.48825
0.00628,0.487169
0.00629,0.486049
0.0063,0.484893
0.00631,0.483699
0.00632,0.482468
0.00633,0.481202
0.00634,0.479899
0.00635,0.478562
0.00636,0.47719
0.00637,0.475784
0.00638,0.474345
0.00639,0.472872
0.0064,0.471366
0.00641,0.469829
0.00642,0.468259
0.00643,0.466658
0.00644,0.465027
0.00645,0.463365
0.00646,0.461673
0.00647,0.459951
0.00648,0.458201
0.00649,0.456422
0.0065,0.454616
0.00651,0.452781
0.00652,0.45092
0.00653,0.449032
0.00654,0.447117
0.00655,0.445177
0.00656,0.443212
0.00657,0.441222
0.00658,0.439207
0.00659,0.437168
0.0066,0.435106
0.00661,0.433021
0.00662,0.430913
0.00663,0.428783
0.00664,0.426631
0.00665,0.424458
0.00666,0.422263
0.00667,0.420049
0.00668,0.417814
0.00669,0.415559
0.0067,0.413286
0.00671,0.410993
0.00672,0.408682
0.00673,0.406353
0.00674,0.404007
0.00675,0.401643
0.00676,0.399262
0.00677,0.396866
0.00678,0.394453
0.00679,0.392025
0.0068,0.389581
0.00681,0.387123
0.00682,0.38465
0.00683,0.382164
0.00684,0.379663
0.00685,0.37715
0.00686,0.374624
0.00687,0.372085
0.00688,0.369534
0.00689,0.366972
0.0069,0.364398
0.00691,0.361813
0.00692,0.359218
0.00693,0.356612
0.00694,0.353997
0.00695,0.351372
0.00696,0.348738
0.00697,0.346095
0.00698,0.343443
0.00699,0.340784
0.007,0.338117
0.00701,0.335442
0.00702,0.33276
0.00703,0.330072
0.00704,0.327377
0.00705,0.324676
0.00706,0.32197
0.00707,0.319258
0.00708,0.316541
0.00709,0.313819
0.0071,0.311093
0.00711,0.308362
0.00712,0.305628
0.00713,0.30289
0.00714,0.30015
0.00715,0.297406
0.00716,0.29466
0.00717,0.291911
0.00718,0.28916
0.00719,0.286408
0.0072,0.283654
0.00721,0.2809
0.00722,0.278144
0.00723,0.275388
0.00724,0.272632
0.00725,0.269875
0.00726,0.267119
0.00727,0.264364
0.00728,0.261609
0.00729,0.258856
0.0073,0.256104
0.00731,0.253353
0.00732,0.250604
0.00733,0.247858
0.00734,0.245114
0.00735,0.242373
0.00736,0.239634
0.00737,0.236899
0.00738,0.234167
0.00739,0.231438
0.0074,0.228714
0.00741,0.225994
0.00742,0.223278
0.00743,0.220566
0.00744,0.217859
0.00745,0.215158
0.00746,0.212461
0.00747,0.20977
0.00748,0.207085
0.00749,0.204406
0.0075,0.201732
0.00751,0.199065
0.00752,0.196405
0.00753,0.193751
0.00754,0.191104
0.00755,0.188464
0.00756,0.185831
0.00757,0.183206
0.00758,0.180589
0.00759,0.177979
0.0076,0.175378
0.00761,0.172784
0.00762,0.170199
0.00763,0.167623
0.00764,0.165055
0.00765,0.162497
0.00766,0.159947
0.00767,0.157407
0.00768,0.154876
0.00769,0.152354
0.0077,0.149842
0.00771,0.147341
0.00772,0.144849
0.00773,0.142367
0.00774,0.139896
0.00775,0.137435
0.00776,0.134985
0.00777,0.132546
0.00778,0.130117
0.00779,0.1277
0.0078,0.125293
0.00781,0.122898
0.00782,0.120515
0.00783,0.118143
0.00784,0.115782
0.00785,0.113434
0.00786,0.111097
0.00787,0.108772
0.00788,0.10646
0.00789,0.10416
0.0079,0.101872
0.00791,0.0995963
0.00792,0.0973334
0.00793,0.0950832
0.00794,0.0928457
0.00795,0.0906212
0.00796,0.0884095
0.00797,0.086211
0.00798,0.0840256
0.00799,0.0818534
0.008,0.0796945
0.00801,0.077549
0.00802,0.075417
0.00803,0.0732986
0.00804,0.0711939
0.00805,0.0691028
0.00806,0.0670255
0.00807,0.0649621
0.00808,0.0629127
0.00809,0.0608772
0.0081,0.0588558
0.00811,0.0568485
0.00812,0.0548554
0.00813,0.0528765
0.00814,0.050912
0.00815,0.0489618
0.00816,0.047026
0.00817,0.0451047
0.00818,0.0431979
0.00819,0.0413057
0.0082,0.039428
0.00821,0.037565
0.00822,0.0357167
0.00823,0.0338831
0.00824,0.0320643
0.00825,0.0302603
0.00826,0.0284711
0.00827,0.0266968
0.00828,0.0249373
0.00829,0.0231928
0.0083,0.0214633
0.00831,0.0197487
0.00832,0.0180491
0.00833,0.0163646
0.00834,0.0146951
0.00835,0.0130406
0.00836,0.0114012
0.00837,0.00977694
0.00838,0.00816775
0.00839,0.00657368
0.0084,0.00499473
0.00841,0.00343091
0.00842,0.00188223
0.00843,0.0003487
0.00844,-0.00116969
0.00845,-0.00267293
0.00846,-0.00416101
0.00847,-0.00563396
0.00848,-0.00709175
0.00849,-0.0085344
0.0085,-0.00996192
0.00851,-0.0113743
0.00852,-0.0127716
0.00853,-0.0141537
0.00854,-0.0155208
0.00855,-0.0168728
0.00856,-0.0182097
0.00857,-0.0195315
0.00858,-0.0208383
0.00859,-0.0221301
0.0086,-0.0234069
0.00861,-0.0246687
0.00862,-0.0259156
0.00863,-0.0271475
0.00864,-0.0283645
0.00865,-0.0295666
0.00866,-0.0307538
0.00867,-0.0319263
0.00868,-0.0330839
0.00869,-0.0342267
0.0087,-0.0353549
0.00871,-0.0364683
0.00872,-0.037567
0.00873,-0.0386511
0.00874,-0.0397207
0.00875,-0.0407756
0.00876,-0.041816
0.00877,-0.042842
0.00878,-0.0438535
0.00879,-0.0448506
0.0088,-0.0458334
0.00881,-0.0468018
0.00882,-0.047756
0.00883,-0.0486959
0.00884,-0.0496217
0.00885,-0.0505334
0.00886,-0.0514309
